Epoch,Accuracy (Train),Loss (Train),Top-5 Accuracy (Train),Accuracy (Val),Loss (Val),Top-5 Accuracy (Val),Learning Rate
1,6.65%,3.6583,25.79%,7.51%,3.4726,28.73%,0.001
2,7.26%,3.4649,27.80%,7.74%,3.903,28.38%,0.001
3,7.35%,3.4652,27.55%,7.14%,3.5112,26.75%,0.001
4,7.66%,3.4349,28.64%,7.15%,3.4933,28.75%,0.001
5,8.13%,3.4119,29.61%,7.04%,10.6193,29.57%,0.0005
6,8.27%,3.4054,29.88%,6.97%,8.0397,26.02%,0.0005
