Epoch,Accuracy (Train),Loss (Train),Top-5 Accuracy (Train),Accuracy (Val),Loss (Val),Top-5 Accuracy (Val),Learning Rate
1,1.14%,7.025,4.61%,1.58%,6.8749,6.06%,0.0005
2,1.94%,6.5656,7.16%,3.67%,6.3865,10.37%,0.0005
3,3.71%,6.3454,10.48%,5.68%,6.0843,14.17%,0.0005
4,5.42%,6.1176,13.90%,8.07%,5.8341,18.83%,0.0005
5,7.28%,5.8652,18.11%,9.35%,5.6321,22.19%,0.0005
6,8.65%,5.6972,21.04%,10.29%,5.5249,23.98%,0.0005
7,9.53%,5.5507,23.32%,10.78%,5.3468,25.55%,0.0005
8,10.38%,5.4444,24.88%,11.08%,5.2757,26.82%,0.0005
9,10.69%,5.3726,25.85%,12.04%,5.2389,28.29%,0.0005
10,11.04%,5.3096,26.82%,12.23%,5.2087,28.39%,0.0005
11,11.54%,5.2407,27.81%,11.76%,5.2011,27.78%,0.0005
12,12.03%,5.192,28.61%,12.37%,5.1767,28.87%,0.0005
13,12.20%,5.1411,29.37%,12.36%,5.1722,28.84%,0.0005
14,12.58%,5.0972,30.17%,12.48%,5.1835,28.84%,0.0005
15,12.72%,5.0822,30.43%,13.02%,5.1654,29.20%,0.0005
16,13.28%,5.0431,31.16%,12.65%,5.19,29.57%,0.0005
17,13.33%,5.0129,31.72%,12.87%,5.1855,29.25%,0.0005
18,13.54%,4.9855,32.03%,13.11%,5.1475,29.75%,0.0005
19,13.82%,4.9508,33.02%,12.80%,5.1892,29.44%,0.0005
20,14.32%,4.9188,33.46%,12.76%,5.2624,29.14%,0.0005
21,14.27%,4.8946,33.70%,13.20%,5.2896,29.35%,0.0005
22,14.44%,4.8748,34.12%,12.57%,5.3345,28.54%,0.0005
23,14.95%,4.8332,34.85%,12.82%,5.2656,28.88%,0.0005
24,16.49%,4.6124,38.07%,13.83%,5.1617,30.08%,0.00025
25,17.48%,4.4545,39.94%,13.94%,5.2062,30.02%,0.00025
26,17.59%,4.427,40.21%,13.90%,5.139,30.10%,0.00025
