Epoch,Accuracy (Train),Loss (Train),Top-5 Accuracy (Train),Accuracy (Val),Loss (Val),Top-5 Accuracy (Val),Learning Rate
1,7.30%,3.4734,27.77%,8.00%,3.5972,27.14%,0.001
2,8.99%,3.3815,30.72%,9.27%,5.259,31.54%,0.001
3,10.46%,3.3308,32.68%,5.05%,34.1044,24.72%,0.001
4,11.59%,3.2812,35.10%,10.26%,4.0004,32.97%,0.001
5,13.59%,3.1966,38.77%,11.06%,5.2504,33.54%,0.0005
6,15.13%,3.1253,41.86%,11.95%,4.4445,33.23%,0.0005
