Epoch,From Square Accuracy (Train),From Square Loss (Train),To Square Accuracy (Train),To Square Loss (Train),Loss (Train),From Square Accuracy (Val),From Square Loss (Val),To Square Accuracy (Val),To Square Loss (Val),Loss (Val),Learning Rate
1,19.87%,2.9614,8.75%,3.6554,6.7163,37.09%,2.2358,13.90%,3.4131,5.7612,0.0005
2,36.63%,2.2198,14.17%,3.4169,5.7554,41.50%,1.9332,17.42%,3.2614,5.317,0.0005
3,40.58%,2.0016,16.82%,3.2964,5.422,43.61%,1.7969,19.37%,3.1498,5.0712,0.0005
4,42.47%,1.8932,18.61%,3.2046,5.2235,44.86%,1.7576,20.81%,3.0796,4.9628,0.0005
5,43.96%,1.8209,20.06%,3.131,5.0791,45.54%,1.6829,22.16%,3.01,4.8199,0.0005
6,44.75%,1.7728,21.40%,3.0698,4.9712,45.45%,1.6698,23.16%,2.9616,4.7594,0.0005
7,45.51%,1.7335,22.53%,3.0139,4.8779,45.68%,1.6493,24.13%,2.9145,4.6931,0.0005
8,46.45%,1.7003,23.58%,2.9673,4.7987,46.22%,1.6395,25.37%,2.8699,4.6405,0.0005
9,47.11%,1.6695,24.51%,2.9211,4.7239,46.37%,1.6545,25.72%,2.8513,4.6389,0.0005
10,47.79%,1.6476,25.27%,2.8862,4.6679,46.34%,1.636,25.98%,2.8327,4.602,0.0005
11,48.31%,1.6256,26.06%,2.852,4.6122,46.92%,1.6169,26.73%,2.8094,4.5595,0.0005
12,48.74%,1.6061,26.61%,2.8193,4.5609,46.89%,1.6137,26.62%,2.8011,4.549,0.0005
13,49.24%,1.5869,27.29%,2.7933,4.5169,46.99%,1.6275,27.06%,2.808,4.5711,0.0005
14,49.67%,1.5716,27.76%,2.7678,4.4767,47.42%,1.6137,27.59%,2.7705,4.5205,0.0005
15,50.16%,1.5553,28.18%,2.7442,4.4375,47.37%,1.6096,27.74%,2.7656,4.5129,0.0005
16,50.63%,1.5401,28.83%,2.7201,4.3991,47.38%,1.6189,27.98%,2.7696,4.5264,0.0005
17,51.02%,1.5257,29.29%,2.7007,4.366,47.35%,1.618,27.94%,2.76,4.5165,0.0005
18,51.47%,1.5117,29.60%,2.6822,4.3342,47.09%,1.639,28.07%,2.7739,4.5525,0.0005
19,51.88%,1.4991,29.97%,2.664,4.3039,47.27%,1.6476,28.24%,2.7634,4.5508,0.0005
20,52.18%,1.487,30.36%,2.6457,4.2747,47.60%,1.6506,28.13%,2.7591,4.55,0.0005
21,54.56%,1.3905,32.45%,2.5414,4.058,48.22%,1.6132,29.17%,2.7183,4.4469,0.00025
22,55.32%,1.3659,33.13%,2.509,3.9878,48.16%,1.6399,29.32%,2.7292,4.4784,0.00025
23,55.54%,1.3556,33.48%,2.4927,3.9565,48.06%,1.6354,29.25%,2.7333,4.4746,0.00025
24,55.96%,1.35,33.85%,2.4791,3.9352,48.23%,1.6507,29.27%,2.7385,4.4938,0.00025
25,56.38%,1.3359,34.08%,2.4662,3.9069,48.28%,1.6583,29.28%,2.7422,4.5038,0.00025
26,56.43%,1.3314,34.30%,2.454,3.8891,48.04%,1.6679,29.32%,2.7515,4.5218,0.00025
27,58.10%,1.2697,35.66%,2.3853,3.7536,48.38%,1.6662,29.56%,2.7418,4.5025,0.000125
28,58.50%,1.2564,36.03%,2.3702,3.719,48.40%,1.6703,29.53%,2.75,4.5104,0.000125
29,58.92%,1.2446,36.31%,2.3598,3.6936,48.36%,1.683,29.46%,2.7579,4.5284,0.000125
30,58.99%,1.2433,36.31%,2.3523,3.6823,48.35%,1.6897,29.43%,2.7622,4.5374,0.000125
31,59.11%,1.2386,36.51%,2.3449,3.6687,48.22%,1.6978,29.45%,2.7659,4.5475,0.000125
