Epoch,Accuracy (Train),Loss (Train),Top-5 Accuracy (Train),Accuracy (Val),Loss (Val),Top-5 Accuracy (Val),Learning Rate
1,1.31%,1.7689,5.10%,2.33%,1.6276,7.82%,0.0005
2,2.54%,1.6272,8.06%,3.82%,1.5724,11.36%,0.0005
3,4.16%,1.5777,11.36%,6.19%,1.5133,15.52%,0.0005
4,5.56%,1.5238,14.94%,8.39%,1.4395,20.55%,0.0005
5,7.39%,1.4671,18.60%,9.72%,1.3943,23.31%,0.0005
6,8.18%,1.4301,20.81%,10.48%,1.3606,24.07%,0.0005
7,8.58%,1.4047,21.80%,10.41%,1.3589,25.13%,0.0005
8,9.39%,1.3792,23.36%,10.66%,1.3279,25.38%,0.0005
9,9.89%,1.3636,24.14%,11.14%,1.3186,26.42%,0.0005
10,9.92%,1.3465,25.09%,11.22%,1.3298,25.87%,0.0005
11,10.44%,1.3333,25.84%,11.41%,1.314,26.72%,0.0005
12,10.84%,1.3195,26.70%,11.69%,1.3245,27.15%,0.0005
13,11.08%,1.3091,27.39%,11.64%,1.319,26.71%,0.0005
14,11.50%,1.2995,27.86%,11.52%,1.3315,26.77%,0.0005
15,11.66%,1.2902,28.48%,11.78%,1.3388,26.31%,0.0005
16,11.73%,1.2791,29.10%,11.99%,1.3332,27.05%,0.0005
17,13.33%,1.2193,31.74%,12.57%,1.3116,27.58%,0.00025
18,14.05%,1.1866,33.18%,12.44%,1.3172,27.43%,0.00025
19,14.16%,1.1769,33.77%,12.61%,1.3195,27.52%,0.00025
20,14.52%,1.1688,34.42%,12.36%,1.336,26.94%,0.00025
21,14.65%,1.1626,34.82%,12.49%,1.343,27.13%,0.00025
22,14.73%,1.1577,35.18%,12.49%,1.3667,27.09%,0.00025
23,15.84%,1.1196,37.17%,12.89%,1.341,27.26%,0.000125
