Epoch,Accuracy (Train),Loss (Train),Top-5 Accuracy (Train),Accuracy (Val),Loss (Val),Top-5 Accuracy (Val),Learning Rate
1,1.12%,6.8138,4.89%,1.84%,6.5004,6.59%,0.0005
2,1.84%,6.5054,6.69%,2.68%,6.4699,7.93%,0.0005
3,2.53%,6.4474,7.65%,3.53%,6.411,8.62%,0.0005
4,3.03%,6.3942,8.47%,3.87%,6.3972,9.14%,0.0005
5,3.35%,6.3463,8.99%,4.00%,6.3553,9.64%,0.0005
6,3.62%,6.3183,9.40%,4.11%,6.3412,9.93%,0.0005
7,3.83%,6.2822,9.68%,4.19%,6.3361,9.92%,0.0005
8,4.26%,6.2346,10.24%,4.64%,6.2997,10.67%,0.0005
9,4.56%,6.196,10.67%,5.10%,6.3518,11.08%,0.0005
10,4.81%,6.1582,11.13%,5.44%,6.3146,11.51%,0.0005
11,5.17%,6.1233,11.56%,5.98%,6.3914,11.99%,0.0005
